category,name,price,image_url
М'ясо,Грудка качина зі шкірою заморожена,289.00 грн/500г,https://images.silpo.ua/products/300x300/webp/58e69d0d-7a00-490a-94e2-491ee5f93b4d.png
М'ясо,Біфштекс «М'ясторія» «Абердин» з яловичини шок-фриз,349.00 грн/540г,https://images.silpo.ua/products/300x300/webp/79209dee-8d5c-4b6a-9238-5caea03f5b14.png
М'ясо,Філе курчати-бройлера мале охолоджене,21.40 грн/100г,https://images.silpo.ua/products/300x300/webp/160485a9-e21c-4a1c-a87d-917ca3cd93d8.png
М'ясо,Теляча гомілка Оссобуко,20.03 грн/100г,https://images.silpo.ua/products/300x300/webp/3f8489aa-af0d-4f07-93df-20b6ae9b0f00.png
М'ясо,"Кролик, задні ніжки свіжоморожені в/у",49.90 грн/100г,https://images.silpo.ua/products/300x300/webp/8cc67a02-aba9-47ac-93c3-232f37809a12.png
М'ясо,Ковбаски фірмові курячі,24.90 грн/100г,https://images.silpo.ua/products/300x300/webp/634c298b-ca57-44dd-86b5-019bcc302684.png
М'ясо,"Курячий бульйонний набір, нижня частина",3.85 грн/100г,https://images.silpo.ua/products/300x300/webp/609cb5e7-faf9-4470-9af6-28f7c2a74548.png
М'ясо,Свиняча грудинка охолоджена,17.90 грн/100г,https://images.silpo.ua/products/300x300/webp/22561eb7-8bf1-479c-bb15-c44219ca995b.png
М'ясо,Печінка яловича,9.90 грн/100г,https://images.silpo.ua/products/300x300/webp/8757f14e-de04-4e41-a0e4-328d7d9279c3.png
М'ясо,Свинячий гуляш,18.79 грн/100г,https://images.silpo.ua/products/300x300/webp/16931ee2-49bd-4668-b041-8c92f92560c9.png
М'ясо,Ковбаски #ЦеМ'ясо EasуСheesy курка-свинина рублені для грилю охолоджені,154.00 грн/500г,https://images.silpo.ua/products/300x300/webp/a3116b61-6328-45ff-84d3-0e78be9b272a.png
М'ясо,Шашлик PREMIA Party line По-Кавказськи зі свинини,21.40 грн/100г,https://images.silpo.ua/products/300x300/webp/5ed49d5a-a606-42f3-9f20-06a394031f52.png
М'ясо,Свиняче яблучко з окосту охолоджене,22.89 грн/100г,https://images.silpo.ua/products/300x300/webp/58ad13ce-6557-49d1-a716-b0a774ba8879.png
М'ясо,Телячі ребра охолоджені,19.71 грн/100г,https://images.silpo.ua/products/300x300/webp/3dd4be01-f40b-46fe-9b62-333f75e67c19.png
